,c_leading_the_way_day_min,c_consumer_transformation_day_min,c_system_transformation_day_min,c_steady_progression_day_min,c_leading_the_way_day_max,c_consumer_transformation_day_max,c_system_transformation_day_max,c_steady_progression_day_max,combined_leading_the_way,combined_consumer_transformation,combined_system_transformation,combined_steady_progression
2050-02-16,797.1186173223682,1017.391686648442,896.9273391569625,950.6447192242391,1364.5987370365233,1750.8080643113483,1446.0814785081084,1439.2431360098449,1057.0788086890238,1354.7541316886143,1152.0537235831166,1180.8360895422593
2050-02-17,784.9180754800565,1001.9873766519256,886.0544482564981,941.8092118756258,1331.1454936033297,1709.2270543785717,1417.9542752543848,1418.0302011391973,1035.3776213925285,1327.6367328278297,1133.4387057210351,1166.4158223524973
2050-02-18,789.821655625743,1009.0761680562722,892.7280655755964,949.4786211481797,1339.3268595725208,1720.8482215499198,1428.5598697585003,1429.880524315392,1041.8366969665958,1336.8855993126751,1142.001895645154,1176.1115499388943
2050-02-19,789.5807589376466,1008.6626783063783,892.232770033965,948.8025058985281,1339.3075555917317,1720.647347320408,1428.089670410648,1429.056709905476,1041.6838695453835,1336.5511668171796,1141.5026017082248,1175.3517543159746
2050-02-20,782.7894658611903,999.7057863022537,885.1994217768865,942.1304200296582,1322.9280231496514,1699.6698529838307,1412.7307365198474,1415.8329167146553,1030.567900536981,1322.1592878387614,1130.6801575231225,1165.6639367158841
2050-02-21,782.6199887145136,999.0821663717259,883.9970341232261,940.1281511369723,1324.8657470294675,1701.4156598906982,1412.659105827614,1414.02097548882,1031.2992355737383,1322.5356507860945,1129.9279775179996,1163.6837105570016
2050-02-22,796.9048841815969,1016.9851167381895,896.3859881995551,949.8626641525225,1364.814470497423,1750.8550427281682,1445.6952268274624,1438.3651495051822,1057.0433194121292,1354.5304010625107,1151.5628867174878,1179.9894458634076
2050-02-23,805.996083281601,1028.614012612324,904.87394475409,957.136575595116,1388.8598998208608,1780.985868018445,1466.5369663895979,1454.7290447028477,1072.8346626733778,1374.460336895859,1165.615062336576,1191.388245017347
2050-02-24,798.7592044288473,1018.9899822597561,897.1751803030289,949.6621197558019,1371.8717231203204,1759.0827232229292,1450.232210373239,1440.3432894338694,1061.189707117789,1359.2702694394027,1153.9867912324903,1180.7195163376505
2050-02-25,795.2274551834819,1015.4358264681936,896.3504736332288,951.2568619276977,1356.8802580531074,1741.9130390793673,1441.3851541868128,1437.5547444260742,1052.6260603758546,1349.7567774986628,1149.6887073089079,1180.4775231710241
2050-02-26,801.2313730901385,1022.9812275744328,901.6109675628534,955.4437926559971,1373.5485326382804,1762.574238147604,1455.2539631192517,1447.8636788113477,1063.39376286377,1363.1658428510607,1158.8069119763861,1187.421264346552
2050-02-27,814.503700312478,1039.0098887371075,911.5683272059862,961.7111940273224,1414.2152151177647,1811.9420983069406,1486.4198154082687,1468.2404094537355,1088.8389905044646,1394.0053444174434,1178.1789415679107,1199.9412877980974
